x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,soiltemp,macroclimate,landcover,landcover_class
511689.77772431204,5431213.70341275,-0.24563328908060442,0.04948113804526694,0.10998440795343699,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",94.1287841796875,0.9274759292602539,324.30517578125,9.653526306152344,9.939901351928711,7,Open shrublands
262889.77772431204,5452013.70341275,-2.056652091213673,0.5326111747026364,0.03502620467919353,"(-3.07,-0.00719]","(0.431,2.39]","(-0.198,1.88]","(-3.07,-0.00719] (0.431,2.39] (-0.198,1.88]",5.938800811767578,0.32613396644592285,113.93541717529297,10.765131950378418,10.396248817443848,14,Urban and built-up
388689.77772431204,5407513.70341275,0.001123744387333106,0.11199554839412953,0.0012270604412802995,"(-0.00719,3.04]","(-1.53,0.431]","(-0.198,1.88]","(-0.00719,3.04] (-1.53,0.431] (-0.198,1.88]",80.64217376708984,1.8106982707977295,303.5783386230469,9.367049217224121,9.977709770202637,7,Open shrublands
383589.77772431204,5417113.70341275,-1.4743045838773567,0.9771276066506599,0.305596514782647,"(-3.07,-0.00719]","(0.431,2.39]","(-0.198,1.88]","(-3.07,-0.00719] (0.431,2.39] (-0.198,1.88]",39.59516906738281,0.6573503613471985,213.3544921875,10.255583763122559,10.408119201660156,14,Urban and built-up
426889.77772431204,5403813.70341275,-0.0856069129145612,0.140591068335598,-0.08942346360525752,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",103.92613983154297,2.1684165000915527,305.57476806640625,9.701688766479492,10.029685020446777,7,Open shrublands
206689.777724312,5407513.70341275,-1.0513998552148143,-1.1326403337295539,-0.6872369816159267,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",38.4520378112793,0.8688321709632874,21.24267578125,10.082796096801758,10.0654935836792,7,Open shrublands
496989.77772431204,5458313.70341275,0.6117389240032068,-0.38474184322243177,3.235305485099434,"(-0.00719,3.04]","(-1.53,0.431]","(1.88,3.97]","(-0.00719,3.04] (-1.53,0.431] (1.88,3.97]",27.276718139648438,0.7465004920959473,276.5831298828125,9.269139289855957,10.010164260864258,1,Evergreen needleleaf forest
330489.77772431204,5454013.70341275,0.1370783648687298,-0.2353332000318518,3.125940891828471,"(-0.00719,3.04]","(-1.53,0.431]","(1.88,3.97]","(-0.00719,3.04] (-1.53,0.431] (1.88,3.97]",10.078585624694824,1.2356746196746826,272.0108642578125,9.536252975463867,10.35581111907959,1,Evergreen needleleaf forest
347389.77772431204,5405813.70341275,-1.3376846656260177,-0.9230526515428523,-0.7182008399934874,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",26.711650848388672,1.292614221572876,30.440189361572266,10.069217681884766,10.42312240600586,7,Open shrublands
375189.77772431204,5448213.70341275,-0.9982649678362568,-1.0920610857997262,-0.5903971800683615,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",9.543309211730957,0.5848323702812195,6.262336254119873,9.34929084777832,10.310396194458008,7,Open shrublands
509389.77772431204,5489013.70341275,-0.7739622751149035,-1.075764682170117,-0.47471978958055394,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",21.058134078979492,0.312333881855011,41.77373504638672,9.41615104675293,10.037919998168945,7,Open shrublands
224489.777724312,5356113.70341275,-0.5981242018360285,-0.9423862427159388,-0.9032132336582438,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",68.2070083618164,2.6486010551452637,18.308107376098633,10.063948631286621,10.102575302124023,7,Open shrublands
231789.777724312,5371213.70341275,-1.804294360421403,0.5453356056876628,-0.018946170246995374,"(-3.07,-0.00719]","(0.431,2.39]","(-0.198,1.88]","(-3.07,-0.00719] (0.431,2.39] (-0.198,1.88]",37.8216438293457,0.7051541209220886,102.96625518798828,10.547799110412598,10.505088806152344,14,Urban and built-up
216689.777724312,5404913.70341275,-0.7508157904104941,-0.5936194761237793,-0.44476194541345865,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",47.00774383544922,1.436149001121521,140.04222106933594,10.008893013000488,10.014646530151367,7,Open shrublands
515489.77772431204,5440313.70341275,-0.7234864770006662,-1.0571159562956893,-0.4513264538354108,"(-3.07,-0.00719]","(-1.53,0.431]","(-2.28,-0.198]","(-3.07,-0.00719] (-1.53,0.431] (-2.28,-0.198]",80.97132110595703,0.16444668173789978,72.86181640625,9.802072525024414,9.996301651000977,7,Open shrublands
402089.77772431204,5479713.70341275,-0.490273098512212,0.4221723964806827,0.2244354521392456,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",25.0565242767334,0.4779871106147766,110.80763244628906,9.302080154418945,9.836031913757324,14,Urban and built-up
232189.777724312,5426713.70341275,-1.2057784674822094,0.008831379654392716,0.4590156020824234,"(-3.07,-0.00719]","(-1.53,0.431]","(-0.198,1.88]","(-3.07,-0.00719] (-1.53,0.431] (-0.198,1.88]",2.264042854309082,0.42349904775619507,30.47597885131836,10.178302764892578,10.056703567504883,15,Cropland/Natural vegetation mosaic
