x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,landcover,landcover_class
443624.63534510817,5448711.809909776,0.5183642239447527,0.6265224398969717,3.368322285472044,"(0.431,1.22]","(0.545,0.856]","(2.86,3.37]","(0.431,1.22] (0.545,0.856] (2.86,3.37]",53.47549819946289,0.1366024911403656,222.29901123046875,1,Evergreen needleleaf forest
267760.9486195816,5455294.942567951,-1.2451060454421425,-0.9974488049778408,-0.1584651398782214,"(-1.95,-1.15]","(-1.01,-0.696]","(-0.209,0.302]","(-1.95,-1.15] (-1.01,-0.696] (-0.209,0.302]",0,0.024523992091417313,79.30875396728516,7,Open shrublands
412119.6433381288,5470106.991048844,-0.6173812436979436,1.1242382123708816,0.21814081153943485,"(-1.15,-0.359]","(0.856,1.17]","(-0.209,0.302]","(-1.15,-0.359] (0.856,1.17] (-0.209,0.302]",33.82742691040039,0.33279407024383545,231.79055786132812,15,Cropland/Natural vegetation mosaic
450913.1036452303,5422849.503038375,0.1945694248440123,1.0057645386006815,-0.013067018775966272,"(-0.359,0.431]","(0.856,1.17]","(-0.209,0.302]","(-0.359,0.431] (0.856,1.17] (-0.209,0.302]",82.04840087890625,1.3783377408981323,188.20654296875,14,Urban and built-up
431633.9294320041,5396516.972405676,0.035393973861620666,0.3783120364398042,0.1695331631106859,"(-0.359,0.431]","(0.235,0.545]","(-0.209,0.302]","(-0.359,0.431] (0.235,0.545] (-0.209,0.302]",135.13272094726562,0.3471895754337311,351.104736328125,7,Open shrublands
480302.08872636774,5365247.092279346,0.7797784881871334,0.42202058467340553,0.11721271261499017,"(0.431,1.22]","(0.235,0.545]","(-0.209,0.302]","(0.431,1.22] (0.235,0.545] (-0.209,0.302]",266.4410400390625,0.7692663669586182,114.64617156982422,14,Urban and built-up
435395.7195223897,5375356.903147257,0.5963774151836904,-0.4312143406880236,0.1259854670133455,"(0.431,1.22]","(-0.696,-0.386]","(-0.209,0.302]","(0.431,1.22] (-0.696,-0.386] (-0.209,0.302]",255.89825439453125,0.3676174581050873,225.08937072753906,7,Open shrublands
418232.5522350054,5385701.825895817,0.662017250395013,0.10845542610554051,0.06375202570128834,"(0.431,1.22]","(-0.0752,0.235]","(-0.209,0.302]","(0.431,1.22] (-0.0752,0.235] (-0.209,0.302]",172.54006958007812,1.0775551795959473,307.7838134765625,7,Open shrublands
191584.69928927327,5364071.532876099,-0.18651629791576083,-1.3461279620327815,-0.1461237929227478,"(-0.359,0.431]","(-1.63,-1.32]","(-0.209,0.302]","(-0.359,0.431] (-1.63,-1.32] (-0.209,0.302]",145.94558715820312,0.4497802257537842,40.57373809814453,7,Open shrublands
295269.03865552624,5421438.8317544805,-1.174615717578499,-1.3240838894529852,-0.23214638660852582,"(-1.95,-1.15]","(-1.63,-1.32]","(-0.72,-0.209]","(-1.95,-1.15] (-1.63,-1.32] (-0.72,-0.209]",6,0.18536598980426788,21.00169563293457,7,Open shrublands
