x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,soiltemp,macroclimate,landcover,landcover_class
4365219.08128998,-2295581.74676982,-1.1694676542797828,-0.21991895919288465,1.8149070101341276,"(-1.78,-0.372]","(-1.65,0.18]","(1.66,3.06]","(-1.78,-0.372] (-1.65,0.18] (1.66,3.06]",1266.759765625,16.257822036743164,188.2049560546875,17.13909912109375,17.997222900390625,4,Deciduous broadleaf forest
4375619.08128998,-2300881.74676982,-0.6469632053968101,-1.6802286248520015,0.08057066612356772,"(-1.78,-0.372]","(-3.47,-1.65]","(-1.13,0.266]","(-1.78,-0.372] (-3.47,-1.65] (-1.13,0.266]",1254.8818359375,24.57039451599121,201.95066833496094,16.899282455444336,18.102956771850586,15,Cropland/Natural vegetation mosaic
4373619.08128998,-2282281.74676982,-0.6295564376488082,-2.2141223528597394,-1.1494815084331058,"(-1.78,-0.372]","(-3.47,-1.65]","(-2.52,-1.13]","(-1.78,-0.372] (-3.47,-1.65] (-2.52,-1.13]",1303.6951904296875,24.140817642211914,6.355926036834717,17.103553771972656,18.005535125732422,15,Cropland/Natural vegetation mosaic
4395619.08128998,-2272281.74676982,-1.5087705047281048,-1.8707656454592896,1.0532629550714137,"(-1.78,-0.372]","(-3.47,-1.65]","(0.266,1.66]","(-1.78,-0.372] (-3.47,-1.65] (0.266,1.66]",1041.2989501953125,23.46182632446289,301.6718444824219,15.614067077636719,18.37420082092285,2,Evergreen Broadleaf forest
4369319.08128998,-2298181.74676982,-1.2704564017350852,-2.633431480333655,1.737602176183872,"(-1.78,-0.372]","(-3.47,-1.65]","(1.66,3.06]","(-1.78,-0.372] (-3.47,-1.65] (1.66,3.06]",1231.063720703125,36.597679138183594,112.2655258178711,16.74005889892578,18.238048553466797,4,Deciduous broadleaf forest
4390619.08128998,-2303481.74676982,-1.1950082198581224,-4.652028508858303,-0.1679106202269481,"(-1.78,-0.372]","(-5.31,-3.47]","(-1.13,0.266]","(-1.78,-0.372] (-5.31,-3.47] (-1.13,0.266]",995.0093994140625,42.42546081542969,43.73112106323242,16.086992263793945,18.750974655151367,2,Evergreen Broadleaf forest
4394819.08128998,-2282181.74676982,-0.7831814723072352,-4.035237596436511,0.5173977648970739,"(-1.78,-0.372]","(-5.31,-3.47]","(0.266,1.66]","(-1.78,-0.372] (-5.31,-3.47] (0.266,1.66]",854.135498046875,39.08806610107422,157.5631561279297,15.967082023620605,19.303823471069336,2,Evergreen Broadleaf forest
4391419.08128998,-2303781.74676982,-0.9608005378114194,-4.141910084009376,1.8698494132265433,"(-1.78,-0.372]","(-5.31,-3.47]","(1.66,3.06]","(-1.78,-0.372] (-5.31,-3.47] (1.66,3.06]",1015.4736328125,47.950401306152344,355.1705627441406,17.232234954833984,18.998096466064453,2,Evergreen Broadleaf forest
4378519.08128998,-2286881.74676982,-0.7571005637629439,0.9440763972896844,0.16122805054028072,"(-1.78,-0.372]","(0.18,2.01]","(-1.13,0.266]","(-1.78,-0.372] (0.18,2.01] (-1.13,0.266]",1102.3623046875,7.008917808532715,248.21470642089844,17.841175079345703,18.414880752563477,5,Mixed forest
4367919.08128998,-2287881.74676982,-0.3787401784952268,1.4585951537824529,-1.9164644268424482,"(-1.78,-0.372]","(0.18,2.01]","(-2.52,-1.13]","(-1.78,-0.372] (0.18,2.01] (-2.52,-1.13]",1119.369384765625,9.734198570251465,67.43628692626953,18.20711326599121,18.754884719848633,13,Croplands
4369719.08128998,-2285581.74676982,-0.4214038052462734,0.7045449812377701,-2.5211213818034146,"(-1.78,-0.372]","(0.18,2.01]","(-3.92,-2.52]","(-1.78,-0.372] (0.18,2.01] (-3.92,-2.52]",1107.5240478515625,17.009613037109375,76.3088607788086,18.0886287689209,18.658349990844727,7,Open shrublands
4373119.08128998,-2300681.74676982,-0.9785571584013056,0.5586324280837868,0.5935413126995938,"(-1.78,-0.372]","(0.18,2.01]","(0.266,1.66]","(-1.78,-0.372] (0.18,2.01] (0.266,1.66]",1126.234130859375,12.283026695251465,303.3508605957031,17.556163787841797,18.34076499938965,5,Mixed forest
4383619.08128998,-2304181.74676982,-0.7499667511722518,0.8948009609654423,2.2231971659332483,"(-1.78,-0.372]","(0.18,2.01]","(1.66,3.06]","(-1.78,-0.372] (0.18,2.01] (1.66,3.06]",1097.5074462890625,7.315674781799316,274.75927734375,17.032480239868164,18.287696838378906,4,Deciduous broadleaf forest
4362319.08128998,-2283581.74676982,-0.7564769981272885,2.8282053012506516,-0.25158695460695085,"(-1.78,-0.372]","(2.01,3.84]","(-1.13,0.266]","(-1.78,-0.372] (2.01,3.84] (-1.13,0.266]",1177.70068359375,5.485488414764404,352.9179382324219,18.024520874023438,18.388263702392578,13,Croplands
4376619.08128998,-2281281.74676982,-0.49559736715977654,3.1497789983981264,-1.2116467790837113,"(-1.78,-0.372]","(2.01,3.84]","(-2.52,-1.13]","(-1.78,-0.372] (2.01,3.84] (-2.52,-1.13]",1091.268798828125,1.2698086500167847,335.9651794433594,17.91082763671875,18.458450317382812,7,Open shrublands
4363019.08128998,-2272281.74676982,-1.6352250078680781,2.2159058233370033,-2.5477454008993314,"(-1.78,-0.372]","(2.01,3.84]","(-3.92,-2.52]","(-1.78,-0.372] (2.01,3.84] (-3.92,-2.52]",1340.15234375,0.9898229241371155,6.518896579742432,16.928686141967773,17.26761817932129,13,Croplands
4382419.08128998,-2275681.74676982,-2.098180849225647,-1.1174393342181834,-0.22934106933730206,"(-3.19,-1.78]","(-1.65,0.18]","(-1.13,0.266]","(-3.19,-1.78] (-1.65,0.18] (-1.13,0.266]",1238.3223876953125,11.935271263122559,138.74867248535156,15.193530082702637,17.665557861328125,2,Evergreen Broadleaf forest
4390019.08128998,-2277281.74676982,-1.9128934238742468,-0.7750305243829074,-1.1699441456485695,"(-3.19,-1.78]","(-1.65,0.18]","(-2.52,-1.13]","(-3.19,-1.78] (-1.65,0.18] (-2.52,-1.13]",1167.449462890625,4.095302104949951,8.024799346923828,14.89428424835205,17.750995635986328,2,Evergreen Broadleaf forest
4382819.08128998,-2287381.74676982,-2.2779178986212063,-0.11074375004305016,0.349813962493583,"(-3.19,-1.78]","(-1.65,0.18]","(0.266,1.66]","(-3.19,-1.78] (-1.65,0.18] (0.266,1.66]",1262.7166748046875,5.390719413757324,252.87173461914062,14.691533088684082,17.672712326049805,2,Evergreen Broadleaf forest
4366319.08128998,-2274381.74676982,-2.332797811810812,-0.016365795077619136,1.910208803173842,"(-3.19,-1.78]","(-1.65,0.18]","(1.66,3.06]","(-3.19,-1.78] (-1.65,0.18] (1.66,3.06]",1456.89501953125,15.36510944366455,218.286376953125,15.875170707702637,16.8559513092041,4,Deciduous broadleaf forest
4389619.08128998,-2282981.74676982,-2.3964234513285816,-1.8117357783567998,-0.3075804731036324,"(-3.19,-1.78]","(-3.47,-1.65]","(-1.13,0.266]","(-3.19,-1.78] (-3.47,-1.65] (-1.13,0.266]",1187.7772216796875,16.728073120117188,111.13496398925781,14.123764038085938,17.566287994384766,2,Evergreen Broadleaf forest
