x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,soiltemp,landcover,landcover_class
9724738.36062736,-321218.177723256,-1.143245503405004,-0.24647301595323023,4.619240560431238,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",39.3382682800293,0.46528398990631104,311.87994384765625,25.235727310180664,13,Croplands
9725138.36062736,-324518.177723256,-1.1994180229682172,-0.420370269445159,4.614614987272477,"(-1.43,1.26]","(-0.988,2.97]","(3.86,5.28]","(-1.43,1.26] (-0.988,2.97] (3.86,5.28]",41.41072463989258,0.20977534353733063,284.9446716308594,25.40000343322754,13,Croplands
9710138.36062736,-354018.177723256,-0.5685915123532199,-12.28436145969214,6.598828056747611,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",162.40855407714844,1.2884302139282227,88.670379638671875,24.829282760620117,14,Urban and built-up
9711238.36062736,-352218.177723256,-0.596796510563942,-10.817876781724271,6.645690043278253,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",132.4616241455078,1.1726319789886475,317.9133605957031,24.42302703857422,14,Urban and built-up
9711038.36062736,-353118.177723256,-0.6778206179215402,-12.159707273059404,6.602465221474222,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",146.3545684814453,1.251223087310791,108.01343536376953,25.05190658569336,14,Urban and built-up
9711838.36062736,-351718.177723256,-0.6701105413422843,-11.760025301970984,6.611469390356891,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",127.98056030273438,2.6598541736602783,168.7798614501953,25.22492790222168,14,Urban and built-up
9712038.36062736,-352618.177723256,-0.6818775346303998,-11.865526511184113,6.610161989104644,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",136.82093811035156,1.9888190031051636,153.09994506835938,25.156963348388672,14,Urban and built-up
9712238.36062736,-351418.177723256,-0.7943251571105402,-12.275184332816734,6.5990767966318975,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",131.26600646972656,0.6551755666732788,90.45556640625,25.18590545654297,14,Urban and built-up
9712938.36062736,-351418.177723256,-0.8948817756282872,-11.073231699281136,6.64020043093522,"(-1.43,1.26]","(-12.9,-8.9]","(5.28,6.7]","(-1.43,1.26] (-12.9,-8.9] (5.28,6.7]",121.23090362548828,0.44232872128486633,278.4925842285156,25.195539474487305,14,Urban and built-up
9698538.36062736,-338518.177723256,-0.662395727385785,-1.1494913981101893,-0.3201807725032549,"(-1.43,1.26]","(-4.94,-0.988]","(-0.395,1.03]","(-1.43,1.26] (-4.94,-0.988] (-0.395,1.03]",93.56687927246094,0.8496103882789612,0.5310362577438354,24.752164840698242,15,Cropland/Natural vegetation mosaic
9781238.36062736,-353618.177723256,-0.5843051238007364,-1.0609207299488048,-0.31887182368776795,"(-1.43,1.26]","(-4.94,-0.988]","(-0.395,1.03]","(-1.43,1.26] (-4.94,-0.988] (-0.395,1.03]",97.31920623779297,1.6107972860336304,13.591208457946777,24.716245651245117,15,Cropland/Natural vegetation mosaic
9783338.36062736,-354318.177723256,-0.45225005525304623,-1.12828427903231,-0.3276615102123598,"(-1.43,1.26]","(-4.94,-0.988]","(-0.395,1.03]","(-1.43,1.26] (-4.94,-0.988] (-0.395,1.03]",90.51445007324219,4.15343713760376,0.19501212239265442,24.952728271484375,15,Cropland/Natural vegetation mosaic
9789538.36062736,-323718.177723256,-0.6892681249272342,-1.0234592564340481,-0.32404142408101677,"(-1.43,1.26]","(-4.94,-0.988]","(-0.395,1.03]","(-1.43,1.26] (-4.94,-0.988] (-0.395,1.03]",36.41923522949219,1.948159098625183,18.61931800842285,24.706035614013672,15,Cropland/Natural vegetation mosaic
9718738.36062736,-347318.177723256,-0.9374140352313559,-1.14720217302727,4.591182345305374,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",90.673980712890625,1.1407150030136108,170.7355194091797,25.26051139831543,13,Croplands
9720238.36062736,-334918.177723256,-0.8945332822880194,-2.191274095122524,4.551881979478192,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",56.79096221923828,0.822520911693573,7.701274871826172,24.93716049194336,13,Croplands
9721138.36062736,-343218.177723256,-0.8644721554383075,-1.8219662869475333,4.565332463302863,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",69.27185821533203,0.9439199566841125,65.40404510498047,24.902240753173828,13,Croplands
9720438.36062736,-333818.177723256,-1.0859891034660591,-1.287244537621604,4.585626691677625,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",56.68040466308594,0.24965064227581024,149.54296875,25.280597686767578,13,Croplands
9724538.36062736,-324118.177723256,-1.1072784084219323,-2.222964312451301,4.551971424261341,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",38.6450080871582,0.26501336693763733,3.0933613777160645,25.37627410888672,13,Croplands
9723538.36062736,-329918.177723256,-1.077014744733769,-1.9252571729559937,4.562300697718314,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",46.190975189208984,0.45669588446617126,49.4915885925293,25.33527374267578,13,Croplands
9719338.36062736,-338618.177723256,-1.0327329867137724,-1.2453952378607165,4.585637951488151,"(-1.43,1.26]","(-4.94,-0.988]","(3.86,5.28]","(-1.43,1.26] (-4.94,-0.988] (3.86,5.28]",63.35509490966797,1.2000080347061157,155.0717010498047,25.4144344329834,13,Croplands
9734338.36062736,-325718.177723256,-1.0986466336711693,5.044835711662546,4.802587321153504,"(-1.43,1.26]","(2.97,6.94]","(3.86,5.28]","(-1.43,1.26] (2.97,6.94] (3.86,5.28]",45.98332977294922,0.6715092062950134,68.54947662353516,25.177072525024414,7,Open shrublands
9752938.36062736,-331818.177723256,-1.2997306324767148,6.015760626524305,4.838143953309226,"(-1.43,1.26]","(2.97,6.94]","(3.86,5.28]","(-1.43,1.26] (2.97,6.94] (3.86,5.28]",41.49810028076172,0.13492564857006073,220.77557373046875,25.519800186157227,7,Open shrublands
9789238.36062736,-321118.177723256,-0.8560815879451869,4.750265483957062,4.7901955019201266,"(-1.43,1.26]","(2.97,6.94]","(3.86,5.28]","(-1.43,1.26] (2.97,6.94] (3.86,5.28]",54.4244384765625,1.0964487791061401,22.26966667175293,24.57759666442871,7,Open shrublands
9752838.36062736,-332318.177723256,-1.2711150371938975,6.015662763062192,4.836663059553549,"(-1.43,1.26]","(2.97,6.94]","(3.86,5.28]","(-1.43,1.26] (2.97,6.94] (3.86,5.28]",40.43612289428711,0.755003809928894,220.0620574951172,25.591650009155273,7,Open shrublands
9752038.36062736,-331018.177723256,-1.2497543317757531,5.258793522944468,4.8114131081511875,"(-1.43,1.26]","(2.97,6.94]","(3.86,5.28]","(-1.43,1.26] (2.97,6.94] (3.86,5.28]",41.980712890625,0.4501214623451233,102.09833526611328,25.567472457885742,7,Open shrublands
