x,y,landcover,landcover_class,elevation,slope,aspect,Dim.1,Dim.2,Dim.3
5045463.27696657,1833340.99055419,7,Open shrublands,250.828857421875,27.29144859313965,355.0169372558594,-1.8370405214236882,-1.6276551946794753,1.2810173178273898
5064363.27696657,1837990.99055419,16,Barren or sparsely vegetated,692.9649658203125,31.05765724182129,254.1960906982422,-1.8200749607449689,-1.1293808294918208,-1.436359710597822
5051013.27696657,1834990.99055419,16,Barren or sparsely vegetated,262.42999267578125,41.711307525634766,279.9015808105469,-1.838651923130703,-1.3017902064798585,-0.9246333046244959
5060213.27696657,1842090.99055419,7,Open shrublands,737.87493896484375,26.61016845703125,309.5419616699219,-2.64752768600716,-1.2787424830112673,0.4166750708332583
5056363.27696657,1834790.99055419,7,Open shrublands,362.5751037597656,29.170753479003906,286.3980712890625,-2.145455120232926,-0.9260534124907376,0.88974710828541
5062163.27696657,1841790.99055419,16,Barren or sparsely vegetated,832.7786865234375,28.736757278442383,141.63658142089844,-1.8483119774152392,0.04476111893623688,-1.8944803431900423
5059763.27696657,1830490.99055419,16,Barren or sparsely vegetated,243.5550537109375,42.179351806640625,168.7650146484375,-1.7858996970221064,-0.10238950631425228,-1.1904611145166908
5054263.27696657,1841690.99055419,7,Open shrublands,665.9830322265625,18.026193618774414,195.4116668701172,-1.8291024514443741,-0.013941275448530632,0.41985277489389816
5051063.27696657,1835290.99055419,7,Open shrublands,331.5895690917969,36.203861236572266,234.21011352539062,-2.583527308544088,-0.36983419859018546,0.6537211799507391
5054563.27696657,1841640.99055419,16,Barren or sparsely vegetated,618.38909912109375,37.916168212890625,100.09696960449219,-2.117582881136374,0.5354934579096834,-1.8620969410442556
5058763.27696657,1848240.99055419,7,Open shrublands,869.9072265625,28.750839233398438,55.98457336425781,-2.923629515034502,1.4047583098098755,-0.4867711441970979
5051313.27696657,1850090.99055419,7,Open shrublands,733.82794189453125,18.385406494140625,89.266021728515625,-1.9278335985418273,1.1068502139593683,0.03346323248843919
5051713.27696657,1835140.99055419,7,Open shrublands,201.75534057617188,33.89921569824219,119.45814514160156,-2.1233275838181753,0.9060970253450749,0.6115874418596003
5058863.27696657,1832540.99055419,16,Barren or sparsely vegetated,424.0055847167969,39.430789947509766,13.144431114196777,-1.835626192524333,1.5237580931645163,-1.8135815392115813
5061563.27696657,1847590.99055419,7,Open shrublands,887.623291015625,23.79512596130371,34.46628952026367,-2.5796408389751257,1.6407244570509834,-0.4636835531447099
5044313.27696657,1833240.99055419,7,Open shrublands,315.9263000488281,28.454111099243164,57.26264953613281,-1.8985504693381863,1.55236316376907,0.3897689653892542
5049563.27696657,1833840.99055419,7,Open shrublands,168.31764221191406,31.984983444213867,30.73398208618164,-1.879048201641178,1.8734570254358391,0.4770776802933243
5059013.27696657,1843090.99055419,16,Barren or sparsely vegetated,828.93499755859375,14.772626876831055,285.4615783691406,-0.8792985222209162,-1.4729021757453107,-1.2203345674382278
5049963.27696657,1834240.99055419,16,Barren or sparsely vegetated,222.2318115234375,29.602201461791992,294.44921875,-0.878927028325033,-1.422677962644083,-0.5652228933705269
5049463.27696657,1846790.99055419,7,Open shrublands,727.79583740234375,5.937888145446777,341.1456298828125,-1.1184322523952546,-1.5748759002028236,0.956010431863488
5057863.27696657,1833090.99055419,7,Open shrublands,279.0075988769531,15.75654125213623,359.43463134765625,-1.0387559590746442,-1.6606079197515256,1.4951289288121865
5063463.27696657,1846840.99055419,16,Barren or sparsely vegetated,913.66815185546875,9.021806716918945,212.67384338378906,-0.5735540820005001,-0.7036125585321011,-1.4167399286477642
5055763.27696657,1833340.99055419,16,Barren or sparsely vegetated,190.5826873779297,31.643905639648438,265.47760009765625,-0.9584470363190076,-1.106037033645003,-0.6337776274779511
5043013.27696657,1846190.99055419,7,Open shrublands,822,1.3254798650741577,296.9920654296875,-0.9275624497508481,-1.1184270685649973,0.7939398019739976
5045663.27696657,1837390.99055419,7,Open shrublands,496.15936279296875,11.513017654418945,248.38278198242188,-1.0659268788331577,-0.5213310624642751,0.9610024437814804
5061163.27696657,1838090.99055419,16,Barren or sparsely vegetated,613.8170166015625,22.18356704711914,156.04762268066406,-0.9747232028249759,-0.03372546428071896,-1.374584315535225
5048913.27696657,1835390.99055419,16,Barren or sparsely vegetated,408.8468322753906,21.60762596130371,194.50657653808594,-0.5791893779490831,-0.3865879694911214,-0.9427616127880134
5047663.27696657,1845690.99055419,7,Open shrublands,755.37701416015625,7.5953545570373535,193.6762237548828,-1.2202942384434938,-6.795835302608189e-4,0.4987432662147897
5055613.27696657,1832040.99055419,7,Open shrublands,118.41407012939453,14.175079345703125,236.52005004882812,-0.5723038984449027,-0.2894175705012116,1.4646943883625054
5063613.27696657,1847240.99055419,16,Barren or sparsely vegetated,877.65826416015625,18.029205322265625,101.89501190185547,-1.1202609641283916,0.4800949273077474,-1.837590816112388
5053663.27696657,1835090.99055419,16,Barren or sparsely vegetated,261.08935546875,33.533912658691406,94.05403137207031,-1.1438078038671804,0.712779246435839,-1.224697649744015
5057013.27696657,1835040.99055419,7,Open shrublands,579.87628173828125,17.143159866333008,128.30465698242188,-1.5758362251029276,0.7342626637993643,0.40119691300778926
5057463.27696657,1829990.99055419,7,Open shrublands,130.93289184570312,14.426742553710938,144.5849609375,-0.5696377822447504,0.6948612446313552,1.2036709077571304
5061713.27696657,1832390.99055419,16,Barren or sparsely vegetated,645.76336669921875,17.169422149658203,8.34853744506836,-0.5919172541728948,1.554814205722227,-1.696489199762257
5047563.27696657,1834240.99055419,16,Barren or sparsely vegetated,203.25827026367188,29.266019821166992,20.130531311035156,-0.6886640825196384,1.5327298719815599,-1.2326615941982864
5048963.27696657,1837490.99055419,7,Open shrublands,461.81414794921875,10.497517585754395,2.455632209777832,-0.8112324103645341,2.134634034629667,0.4050533454308436
5045263.27696657,1835640.99055419,7,Open shrublands,370.07861328125,12.930079460144043,29.826168060302734,-0.837650139055251,1.8621991296253337,0.5668218933167916
5054763.27696657,1838790.99055419,16,Barren or sparsely vegetated,566.23480224609375,12.364704132080078,300.7081298828125,-0.23284145244884707,-1.5558436044779387,-0.7185634351566019
5047613.27696657,1836590.99055419,16,Barren or sparsely vegetated,439.4052429199219,6.2915544509887695,334.7756652832031,0.42898221670488546,-1.8733415597381038,-0.3026469388294707
5048013.27696657,1835640.99055419,7,Open shrublands,435.8968200683594,3.814305305480957,338.8624572753906,-0.4316813609674806,-1.4614395108253242,1.4523803109778046
5043713.27696657,1820790.99055419,7,Open shrublands,17,1.6144229173660278,354.2526550292969,0.4823712088413322,-1.5010079595274648,2.194495288786465
